标题,iF,分区
Applied Clinical Informatics,2.147,Q3
INTERNATIONAL STUDIES QUARTERLY,2.146,Q1 Q1Q2
Iranian Journal of Basic Medical Sciences,2.146,Q3 Q3Q3
EvoDevo,2.146,Q2 Q2Q3
AFRICAN AFFAIRS,2.145,Q1 Q1Q2
JOURNAL OF VISION,2.145,Q2
Enterprise Information Systems,2.145,Q3
European Journal of International Management,2.145,Q3
JOURNAL OF LEARNING DISABILITIES,2.144,Q1 Q1Q1
JOURNAL OF APPLIED GERONTOLOGY,2.144,Q2
Preventing Chronic Disease,2.144,Q2 Q2Q2
INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE,2.144,Q3
JOURNAL OF EUKARYOTIC MICROBIOLOGY,2.143,Q3
JOURNAL OF ENVIRONMENTAL QUALITY,2.142,Q3
ECS Journal of Solid State Science and Technology,2.142,Q3 Q3Q3
International Journal of Laboratory Hematology,2.141,Q3
EDUCATIONAL ADMINISTRATION QUARTERLY,2.14,Q2
GIFTED CHILD QUARTERLY,2.14,Q1 Q1Q2
Photonics,2.14,Q2
European Journal of Trauma and Emergency Surgery,2.139,Q2
Econometrics Journal,2.139,Q1 Q2Q2Q2Q1
CONTINUUM MECHANICS AND THERMODYNAMICS,2.139,Q2 Q2Q2
JOURNAL OF CLINICAL PSYCHOLOGY,2.138,Q2
Population Health Management,2.138,Q3
MICROBIOLOGY-SGM,2.138,Q3
TEACHING IN HIGHER EDUCATION,2.136,Q2
JOURNAL OF AGING AND HEALTH,2.136,Q2 Q2Q2
COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,2.135,Q2 Q2Q2
Archives of Agronomy and Soil Science,2.135,Q2 Q2Q3
EUROPEAN JOURNAL OF MARKETING,2.135,Q3
AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY,2.134,Q3
INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,2.133,Q2
Clinical Medicine Insights-Oncology,2.133,Q4
Seminars in Thoracic and Cardiovascular Surgery,2.133,Q3
JOURNAL OF NANOPARTICLE RESEARCH,2.132,Q3 Q3Q3Q3
EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,2.131,Q2 Q2Q2
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,2.13,Q1 Q1Q2
Borsa Istanbul Review,2.13,Q2 Q2Q2
SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY,2.13,Q4
Higher Education Research & Development,2.129,Q2
INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,2.129,Q2
Acupuncture in Medicine,2.129,Q2
Oeconomia Copernicana,2.128,Q2
ARCHIVES OF GERONTOLOGY AND GERIATRICS,2.128,Q3
NEUROLOGY INDIA,2.128,Q4
Management of Biological Invasions,2.127,Q2
JOURNAL OF COMPUTER ASSISTED LEARNING,2.126,Q2
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,2.126,Q2 Q2Q2
PEDIATRIC INFECTIOUS DISEASE JOURNAL,2.126,Q2 Q4Q3Q2
CANADIAN JOURNAL OF REMOTE SENSING,2.126,Q3
MECHANISMS OF DEVELOPMENT,2.126,Q3
PROBABILITY THEORY AND RELATED FIELDS,2.125,Q1
TREES-STRUCTURE AND FUNCTION,2.125,Q2
AMERICAN JOURNAL OF SURGERY,2.125,Q2
THINKING & REASONING,2.125,Q2
OPTICS COMMUNICATIONS,2.125,Q3
RIVISTA ITALIANA DI PALEONTOLOGIA E STRATIGRAFIA,2.125,Q1 Q2Q1
Behavioral and Brain Functions,2.125,Q3 Q3Q4
JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY,2.125,Q3 Q3Q3Q3
BMJ Sexual & Reproductive Health,2.125,Q2 Q2Q2Q2
AMERICAN JOURNAL OF MEDICAL GENETICS PART A,2.125,Q3
AUTOIMMUNITY,2.125,Q4
Annals of Hepatology,2.125,Q4
Journal of Nutrigenetics and Nutrigenomics,2.125,Q3 Q3Q3
JOURNAL OF HAND SURGERY-AMERICAN VOLUME,2.124,Q2 Q2Q2
JOURNAL OF STORED PRODUCTS RESEARCH,2.123,Q1
JOURNALISM & MASS COMMUNICATION QUARTERLY,2.121,Q2
Business Process Management Journal,2.121,Q3 Q3Q3
Journal of Biological Research-Thessaloniki,2.121,Q2
SUPERLATTICES AND MICROSTRUCTURES,2.12,Q3
Transactions in GIS,2.119,Q2
PSYCHIATRY RESEARCH,2.118,Q2 Q3Q2
CLINICAL RADIOLOGY,2.118,Q3
Journal of Neurosurgery-Pediatrics,2.117,Q2 Q3Q2Q2
MICROSCOPY RESEARCH AND TECHNIQUE,2.117,Q1 Q1Q2Q2
JOURNAL OF CHEMICAL ECOLOGY,2.117,Q2 Q3Q2
Metals,2.117,Q1 Q3Q1
COMPUTER GRAPHICS FORUM,2.116,Q2
BLOOD PURIFICATION,2.116,Q2 Q3Q2
COMPUTER SPEECH AND LANGUAGE,2.116,Q3
INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,2.116,Q3 Q3Q3
BMC Zoology,2.115,Q1
VETERINARY JOURNAL,2.115,Q1
FOOD TECHNOLOGY AND BIOTECHNOLOGY,2.115,Q2 Q3Q2
AUK,2.114,Q1
Biochemia Medica,2.114,Q2
CURRENT OPINION IN PEDIATRICS,2.114,Q2
Augmentative and Alternative Communication,2.113,Q1 Q1Q1
Creativity and Innovation Management,2.113,Q3
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,2.113,Q1 Q3Q2Q1
Modern Rheumatology,2.113,Q3
Translational Vision Science & Technology,2.112,Q2
OCULAR IMMUNOLOGY AND INFLAMMATION,2.112,Q2
HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL,2.112,Q3 Q3Q3Q3Q3
LETHAIA,2.111,Q1
ACTA PAEDIATRICA,2.111,Q2
International Journal of Implant Dentistry,2.111,Q2
Journal of Wound Ostomy and Continence Nursing,2.11,Q1 Q1Q1
PATHOLOGY INTERNATIONAL,2.11,Q2
MICROCIRCULATION,2.11,Q3 Q3Q3
WOOD SCIENCE AND TECHNOLOGY,2.109,Q1 Q2Q1
Journal of Sustainable Metallurgy,2.109,Q1 Q3Q1
AUDITING-A JOURNAL OF PRACTICE & THEORY,2.108,Q2
FORENSIC SCIENCE INTERNATIONAL,2.108,Q1
AIAA JOURNAL,2.108,Q2
JOURNAL OF CLINICAL MONITORING AND COMPUTING,2.108,Q3
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,2.108,Q2 Q4Q2
JOURNAL OF EXPERIMENTAL EDUCATION,2.107,Q2 Q2Q2
PSYCHOLOGY AND AGING,2.107,Q2 Q2Q2
INTERNATIONAL JOURNAL OF NEUROSCIENCE,2.107,Q4
ACTA HISTOCHEMICA,2.107,Q4
International Journal of Sport and Exercise Psychology,2.106,Q3 Q3Q3
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,2.106,Q2 Q3Q2Q2Q2
AMERICAN JOURNAL OF CRITICAL CARE,2.105,Q1 Q3Q1
BEHAVIOR MODIFICATION,2.105,Q2
JOURNAL OF WOMENS HEALTH,2.104,Q1 Q2Q2Q3Q2Q1
JOURNAL OF NONLINEAR SCIENCE,2.104,Q1 Q1Q3Q1
Allergy Asthma and Clinical Immunology,2.104,Q3 Q3Q4
Yale Journal on Regulation,2.103,Q1
JOURNAL OF ENVIRONMENTAL EDUCATION,2.103,Q2 Q2Q3
COMMUNICATIONS IN MATHEMATICAL PHYSICS,2.102,Q1
British Food Journal,2.102,Q2 Q2Q2
ACTA MECHANICA,2.102,Q3
Studies in Informatics and Control,2.102,Q2 Q3Q2
Brazilian Journal of Physical Therapy,2.1,Q2 Q2Q2
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,2.1,Q2
Molecular Medicine Reports,2.1,Q3 Q3Q4
CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS,2.1,Q3
Research in Organizational Behavior,2.1,Q3 Q3Q3
Rhizosphere,2.099,Q2 Q2Q3
Journal of Hydro-environment Research,2.099,Q2 Q2Q3Q2
JOURNAL OF HYDRAULIC RESEARCH,2.098,Q2 Q2Q2
ALZHEIMER DISEASE & ASSOCIATED DISORDERS,2.098,Q2 Q3Q2
SEMINARS IN REPRODUCTIVE MEDICINE,2.098,Q2 Q2Q3
Feminist Legal Studies,2.097,Q1 Q1Q1
International Journal for Numerical Methods in Biomedical Engineering,2.097,Q2 Q3Q2Q2
CURRENT PHARMACEUTICAL BIOTECHNOLOGY,2.097,Q3 Q3Q3
COGNITIVE AND BEHAVIORAL PRACTICE,2.096,Q2
HUMAN MOVEMENT SCIENCE,2.096,Q2 Q4Q3Q2Q2
Petroleum Science,2.096,Q1 Q3Q1
Journal of Grid Computing,2.095,Q2 Q3Q2
FETAL DIAGNOSIS AND THERAPY,2.095,Q3
Psychological Services,2.095,Q2
Food Security,2.095,Q3
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,2.095,Q3 Q3Q4
Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health,2.095,Q3 Q3Q3
Rangeland Ecology & Management,2.095,Q2 Q2Q3
THERIOGENOLOGY,2.094,Q1 Q3Q1
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,2.094,Q2
CHEMISTRY AND PHYSICS OF LIPIDS,2.094,Q3 Q3Q3
EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS,2.094,Q3
Journal of Environmental Planning and Management,2.093,Q2 Q2Q3
ARCHIVES OF MEDICAL RESEARCH,2.093,Q3
BEHAVIOURAL NEUROLOGY,2.093,Q3
International Journal of Computers Communications & Control,2.093,Q3 Q3Q3
JOURNAL OF FLUORESCENCE,2.093,Q3 Q3Q3Q3
CONFLICT MANAGEMENT AND PEACE SCIENCE,2.092,Q1
JOURNAL OF ANIMAL SCIENCE,2.092,Q1
Mycosphere,2.092,Q4
AIDS Research and Therapy,2.092,Q4
TECHNOMETRICS,2.091,Q1
Brain and Behavior,2.091,Q3 Q3Q4
Progress of Theoretical and Experimental Physics,2.091,Q2 Q2Q3
BIOTROPICA,2.09,Q2
INTERNATIONAL JOURNAL OF MASS SPECTROMETRY,2.09,Q2 Q3Q2
Acta Metallurgica Sinica-English Letters,2.09,Q2
Science of Nature,2.09,Q2
MINERVA,2.089,Q1 Q2Q1Q1
NEPHRON,2.089,Q2
International Journal of Accounting Information Systems,2.088,Q2 Q3Q2Q3
JOURNAL OF REGIONAL SCIENCE,2.088,Q2 Q2Q3Q3
MAGAZINE OF CONCRETE RESEARCH,2.088,Q2 Q2Q3
APPLIED SPECTROSCOPY,2.087,Q2 Q2Q2
DIABETES EDUCATOR,2.087,Q2 Q4Q2
EDUCATIONAL TECHNOLOGY & SOCIETY,2.086,Q2
CURRENT OPINION IN UROLOGY,2.084,Q3
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,2.083,Q2 Q2Q2Q3
ANNALS OF PHYSICS,2.083,Q2
Journal of Zhejiang University-SCIENCE B,2.082,Q3 Q3Q3Q3
OZONE-SCIENCE & ENGINEERING,2.082,Q3 Q3Q3
Fossil Record,2.081,Q1
Tree Genetics & Genomes,2.081,Q1 Q2Q3Q1
STRUCTURAL CHEMISTRY,2.081,Q2 Q3Q3Q2
INTERNATIONAL ANGIOLOGY,2.08,Q3
SKIN RESEARCH AND TECHNOLOGY,2.079,Q3
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH,2.079,Q2 Q3Q2
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,2.079,Q2 Q3Q3Q3Q2Q2
Children-Basel,2.078,Q2
ALCOHOL AND ALCOHOLISM,2.078,Q3 Q3Q3
BMC Cardiovascular Disorders,2.078,Q3
QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,2.077,Q2 Q3Q3Q2
Geomechanics for Energy and the Environment,2.077,Q3 Q3Q3Q3
CHEMICAL SPECIATION AND BIOAVAILABILITY,2.077,Q3 Q3Q3Q3
IBIS,2.076,Q1
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,2.076,Q2
COMBUSTION THEORY AND MODELLING,2.076,Q2 Q3Q3Q2Q2
Zoological Letters,2.075,Q1
EARTH PLANETS AND SPACE,2.075,Q3
SCIENCE & JUSTICE,2.075,Q2 Q2Q3
JOURNAL OF INVERTEBRATE PATHOLOGY,2.074,Q1
PERSONNEL REVIEW,2.074,Q2 Q2Q3Q3
TECHNOLOGY IN CANCER RESEARCH & TREATMENT,2.074,Q4
THERAPEUTIC DRUG MONITORING,2.073,Q3 Q3Q3Q3
INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,2.073,Q2 Q2Q3Q2
Photonic Sensors,2.073,Q2 Q2Q3
CELL BIOCHEMISTRY AND BIOPHYSICS,2.073,Q3 Q4Q3Q4
NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS,2.072,Q1
Agriculture-Basel,2.072,Q2
METEOROLOGISCHE ZEITSCHRIFT,2.072,Q3
TESOL QUARTERLY,2.071,Q1 Q2Q1
Journal of Choice Modelling,2.071,Q2
INTERNATIONAL UROGYNECOLOGY JOURNAL,2.071,Q3 Q3Q3
MULTIBODY SYSTEM DYNAMICS,2.071,Q3
Transplant Infectious Disease,2.071,Q3 Q4Q4Q3
MACHINING SCIENCE AND TECHNOLOGY,2.071,Q2 Q3Q2Q3
MATHEMATICS OF COMPUTATION,2.07,Q1
CYTOMETRY PART B-CLINICAL CYTOMETRY,2.07,Q3 Q3Q3
MEMORIAS DO INSTITUTO OSWALDO CRUZ,2.07,Q2 Q2Q2
BIOMARKERS,2.07,Q3 Q3Q4
Ethics and Information Technology,2.068,Q1 Q1Q2
Thinking Skills and Creativity,2.068,Q2
INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,2.068,Q2 Q2Q2
CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,2.068,Q2
Current Bioinformatics,2.068,Q2 Q3Q2
AMERICAN JOURNAL OF PRIMATOLOGY,2.067,Q1
Frontiers in Psychology,2.067,Q2
HUMAN & EXPERIMENTAL TOXICOLOGY,2.067,Q4
INTERNATIONAL JOURNAL OF DERMATOLOGY,2.067,Q3
Borderline Personality Disorder and Emotion Dysregulation,2.067,Q3
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,2.066,Q2
BURNS,2.066,Q2 Q3Q3Q2
Respiratory Care,2.066,Q3 Q3Q3
Swiss Political Science Review,2.065,Q2
International Journal of Astrobiology,2.065,Q2 Q3Q2Q3
NUMERICAL ALGORITHMS,2.064,Q1
CELLS TISSUES ORGANS,2.064,Q2 Q2Q4Q3
Archaeological and Anthropological Sciences,2.063,Q1 Q1Q3
COMPLEMENTARY THERAPIES IN MEDICINE,2.063,Q2
European Journal of Developmental Psychology,2.063,Q2
PSYCHIATRY RESEARCH-NEUROIMAGING,2.063,Q3 Q3Q4Q3
ACTA ASTRONOMICA,2.063,Q3
ECOLOGICAL PSYCHOLOGY,2.063,Q2
Research Papers in Education,2.062,Q2
Obesity Research & Clinical Practice,2.062,Q3 Q4Q3
Child and Adolescent Psychiatry and Mental Health,2.061,Q2 Q2Q3Q2
ADMINISTRATIVE LAW REVIEW,2.059,Q1
Biomedical Engineering Online,2.059,Q3
EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES,2.058,Q4
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,2.057,Q2
Annual Review of Financial Economics,2.057,Q2 Q2Q2
Analysis and Mathematical Physics,2.056,Q1 Q1Q1
NUMERISCHE MATHEMATIK,2.056,Q1
Disability and Health Journal,2.056,Q1 Q3Q2Q3Q2Q2Q1
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,2.056,Q2 Q3Q2Q2
JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,2.056,Q2
Sustainability Accounting Management and Policy Journal,2.056,Q2 Q2Q3Q3
JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,2.056,Q2
EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,2.056,Q3 Q3Q3
Journal of Natural Medicines,2.055,Q3 Q3Q3
Canadian Journal of Gastroenterology and Hepatology,2.055,Q4
JOM,2.054,Q2 Q3Q2Q2Q2
JOURNAL OF THROMBOSIS AND THROMBOLYSIS,2.054,Q3 Q3Q3Q3
PARASITE IMMUNOLOGY,2.054,Q2 Q4Q2
MAGNETIC RESONANCE IMAGING,2.053,Q3
SAR AND QSAR IN ENVIRONMENTAL RESEARCH,2.053,Q2 Q3Q3Q3Q2Q4
COLLEGE & RESEARCH LIBRARIES,2.052,Q2
Primary Care Diabetes,2.052,Q2 Q4Q2
Pharmacology Research & Perspectives,2.052,Q3
Analytical Cellular Pathology,2.052,Q3 Q4Q4Q3
CURRENT PSYCHOLOGY,2.051,Q2
Cardiovascular Ultrasound,2.051,Q3
HEALTH & SOCIAL CARE IN THE COMMUNITY,2.05,Q1 Q2Q1
MARINE BIOLOGY,2.05,Q2
ACTA ANAESTHESIOLOGICA SCANDINAVICA,2.05,Q3
PATHOLOGY RESEARCH AND PRACTICE,2.05,Q3
COGNITIVE DEVELOPMENT,2.05,Q2 Q2Q2
NAUNYN-SCHMIEDEBERGS ARCHIVES OF PHARMACOLOGY,2.05,Q3
Parasite,2.05,Q2
Bosnian Journal of Basic Medical Sciences,2.05,Q3
METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE,2.05,Q2 Q3Q2
CHEMOECOLOGY,2.05,Q3 Q4Q3
Anti-Cancer Agents in Medicinal Chemistry,2.049,Q3 Q3Q4
ANALYTICAL SCIENCES,2.049,Q3
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,2.048,Q3 Q3Q3
FINANCE AND STOCHASTICS,2.048,Q1 Q2Q2Q2Q1
International Journal of Disaster Risk Science,2.048,Q2 Q3Q3Q2
STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,2.048,Q2 Q2Q2
Clinical Sarcoma Research,2.048,Q4
MACROMOLECULAR RESEARCH,2.047,Q2
JOURNAL OF REHABILITATION MEDICINE,2.046,Q2 Q2Q2
Journal of Thoracic Disease,2.046,Q3
JOURNAL OF PROFESSIONAL NURSING,2.045,Q1 Q1Q1
Chinese Optics Letters,2.045,Q3
OPTO-ELECTRONICS REVIEW,2.045,Q3 Q3Q3Q3
ANNALS OF CLINICAL BIOCHEMISTRY,2.044,Q3
COMPUTING,2.044,Q2
CONSCIOUSNESS AND COGNITION,2.044,Q2
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,2.044,Q3
PATHOLOGY INTERNATIONAL,2.11,Q2
MICROCIRCULATION,2.11,Q3 Q3Q3
WOOD SCIENCE AND TECHNOLOGY,2.109,Q1 Q2Q1
Journal of Sustainable Metallurgy,2.109,Q1 Q3Q1
AUDITING-A JOURNAL OF PRACTICE & THEORY,2.108,Q2
FORENSIC SCIENCE INTERNATIONAL,2.108,Q1
AIAA JOURNAL,2.108,Q2
JOURNAL OF CLINICAL MONITORING AND COMPUTING,2.108,Q3
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,2.108,Q2 Q4Q2
JOURNAL OF EXPERIMENTAL EDUCATION,2.107,Q2 Q2Q2
PSYCHOLOGY AND AGING,2.107,Q2 Q2Q2
INTERNATIONAL JOURNAL OF NEUROSCIENCE,2.107,Q4
ACTA HISTOCHEMICA,2.107,Q4
International Journal of Sport and Exercise Psychology,2.106,Q3 Q3Q3
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,2.106,Q2 Q3Q2Q2Q2
AMERICAN JOURNAL OF CRITICAL CARE,2.105,Q1 Q3Q1
BEHAVIOR MODIFICATION,2.105,Q2
JOURNAL OF WOMENS HEALTH,2.104,Q1 Q2Q2Q3Q2Q1
JOURNAL OF NONLINEAR SCIENCE,2.104,Q1 Q1Q3Q1
Allergy Asthma and Clinical Immunology,2.104,Q3 Q3Q4
Yale Journal on Regulation,2.103,Q1
JOURNAL OF ENVIRONMENTAL EDUCATION,2.103,Q2 Q2Q3
COMMUNICATIONS IN MATHEMATICAL PHYSICS,2.102,Q1
British Food Journal,2.102,Q2 Q2Q2
ACTA MECHANICA,2.102,Q3
Studies in Informatics and Control,2.102,Q2 Q3Q2
Brazilian Journal of Physical Therapy,2.1,Q2 Q2Q2
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,2.1,Q2
Molecular Medicine Reports,2.1,Q3 Q3Q4
CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS,2.1,Q3
Research in Organizational Behavior,2.1,Q3 Q3Q3
Rhizosphere,2.099,Q2 Q2Q3
Journal of Hydro-environment Research,2.099,Q2 Q2Q3Q2
JOURNAL OF HYDRAULIC RESEARCH,2.098,Q2 Q2Q2
ALZHEIMER DISEASE & ASSOCIATED DISORDERS,2.098,Q2 Q3Q2
SEMINARS IN REPRODUCTIVE MEDICINE,2.098,Q2 Q2Q3
Feminist Legal Studies,2.097,Q1 Q1Q1
International Journal for Numerical Methods in Biomedical Engineering,2.097,Q2 Q3Q2Q2
CURRENT PHARMACEUTICAL BIOTECHNOLOGY,2.097,Q3 Q3Q3
COGNITIVE AND BEHAVIORAL PRACTICE,2.096,Q2
HUMAN MOVEMENT SCIENCE,2.096,Q2 Q4Q3Q2Q2
Petroleum Science,2.096,Q1 Q3Q1
Journal of Grid Computing,2.095,Q2 Q3Q2
FETAL DIAGNOSIS AND THERAPY,2.095,Q3
Psychological Services,2.095,Q2
Food Security,2.095,Q3
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,2.095,Q3 Q3Q4
Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health,2.095,Q3 Q3Q3
Rangeland Ecology & Management,2.095,Q2 Q2Q3
THERIOGENOLOGY,2.094,Q1 Q3Q1
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,2.094,Q2
CHEMISTRY AND PHYSICS OF LIPIDS,2.094,Q3 Q3Q3
EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS,2.094,Q3
Journal of Environmental Planning and Management,2.093,Q2 Q2Q3
ARCHIVES OF MEDICAL RESEARCH,2.093,Q3
BEHAVIOURAL NEUROLOGY,2.093,Q3
International Journal of Computers Communications & Control,2.093,Q3 Q3Q3
JOURNAL OF FLUORESCENCE,2.093,Q3 Q3Q3Q3
CONFLICT MANAGEMENT AND PEACE SCIENCE,2.092,Q1
JOURNAL OF ANIMAL SCIENCE,2.092,Q1
Mycosphere,2.092,Q4
AIDS Research and Therapy,2.092,Q4
TECHNOMETRICS,2.091,Q1
Brain and Behavior,2.091,Q3 Q3Q4
Progress of Theoretical and Experimental Physics,2.091,Q2 Q2Q3
BIOTROPICA,2.09,Q2
INTERNATIONAL JOURNAL OF MASS SPECTROMETRY,2.09,Q2 Q3Q2
Acta Metallurgica Sinica-English Letters,2.09,Q2
Science of Nature,2.09,Q2
MINERVA,2.089,Q1 Q2Q1Q1
NEPHRON,2.089,Q2
International Journal of Accounting Information Systems,2.088,Q2 Q3Q2Q3
JOURNAL OF REGIONAL SCIENCE,2.088,Q2 Q2Q3Q3
MAGAZINE OF CONCRETE RESEARCH,2.088,Q2 Q2Q3
APPLIED SPECTROSCOPY,2.087,Q2 Q2Q2
DIABETES EDUCATOR,2.087,Q2 Q4Q2
EDUCATIONAL TECHNOLOGY & SOCIETY,2.086,Q2
CURRENT OPINION IN UROLOGY,2.084,Q3
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,2.083,Q2 Q2Q2Q3
ANNALS OF PHYSICS,2.083,Q2
Journal of Zhejiang University-SCIENCE B,2.082,Q3 Q3Q3Q3
OZONE-SCIENCE & ENGINEERING,2.082,Q3 Q3Q3
Fossil Record,2.081,Q1
Tree Genetics & Genomes,2.081,Q1 Q2Q3Q1
STRUCTURAL CHEMISTRY,2.081,Q2 Q3Q3Q2
INTERNATIONAL ANGIOLOGY,2.08,Q3
SKIN RESEARCH AND TECHNOLOGY,2.079,Q3
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH,2.079,Q2 Q3Q2
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,2.079,Q2 Q3Q3Q3Q2Q2
Children-Basel,2.078,Q2
ALCOHOL AND ALCOHOLISM,2.078,Q3 Q3Q3
BMC Cardiovascular Disorders,2.078,Q3
QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,2.077,Q2 Q3Q3Q2
Geomechanics for Energy and the Environment,2.077,Q3 Q3Q3Q3
CHEMICAL SPECIATION AND BIOAVAILABILITY,2.077,Q3 Q3Q3Q3
IBIS,2.076,Q1
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,2.076,Q2
COMBUSTION THEORY AND MODELLING,2.076,Q2 Q3Q3Q2Q2
Zoological Letters,2.075,Q1
EARTH PLANETS AND SPACE,2.075,Q3
SCIENCE & JUSTICE,2.075,Q2 Q2Q3
JOURNAL OF INVERTEBRATE PATHOLOGY,2.074,Q1
PERSONNEL REVIEW,2.074,Q2 Q2Q3Q3
TECHNOLOGY IN CANCER RESEARCH & TREATMENT,2.074,Q4
THERAPEUTIC DRUG MONITORING,2.073,Q3 Q3Q3Q3
INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,2.073,Q2 Q2Q3Q2
Photonic Sensors,2.073,Q2 Q2Q3
CELL BIOCHEMISTRY AND BIOPHYSICS,2.073,Q3 Q4Q3Q4
NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS,2.072,Q1
Agriculture-Basel,2.072,Q2
METEOROLOGISCHE ZEITSCHRIFT,2.072,Q3
TESOL QUARTERLY,2.071,Q1 Q2Q1
Journal of Choice Modelling,2.071,Q2
INTERNATIONAL UROGYNECOLOGY JOURNAL,2.071,Q3 Q3Q3
MULTIBODY SYSTEM DYNAMICS,2.071,Q3
Transplant Infectious Disease,2.071,Q3 Q4Q4Q3
MACHINING SCIENCE AND TECHNOLOGY,2.071,Q2 Q3Q2Q3
MATHEMATICS OF COMPUTATION,2.07,Q1
CYTOMETRY PART B-CLINICAL CYTOMETRY,2.07,Q3 Q3Q3
MEMORIAS DO INSTITUTO OSWALDO CRUZ,2.07,Q2 Q2Q2
BIOMARKERS,2.07,Q3 Q3Q4
Ethics and Information Technology,2.068,Q1 Q1Q2
Thinking Skills and Creativity,2.068,Q2
INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,2.068,Q2 Q2Q2
CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,2.068,Q2
Current Bioinformatics,2.068,Q2 Q3Q2
AMERICAN JOURNAL OF PRIMATOLOGY,2.067,Q1
Frontiers in Psychology,2.067,Q2
HUMAN & EXPERIMENTAL TOXICOLOGY,2.067,Q4
INTERNATIONAL JOURNAL OF DERMATOLOGY,2.067,Q3
Borderline Personality Disorder and Emotion Dysregulation,2.067,Q3
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,2.066,Q2
BURNS,2.066,Q2 Q3Q3Q2
Respiratory Care,2.066,Q3 Q3Q3
Swiss Political Science Review,2.065,Q2
International Journal of Astrobiology,2.065,Q2 Q3Q2Q3
NUMERICAL ALGORITHMS,2.064,Q1
CELLS TISSUES ORGANS,2.064,Q2 Q2Q4Q3
Archaeological and Anthropological Sciences,2.063,Q1 Q1Q3
COMPLEMENTARY THERAPIES IN MEDICINE,2.063,Q2
European Journal of Developmental Psychology,2.063,Q2
